DATE,Dhaka,Tangail,Coxs Bazar,Khagrachari
7/7/2020,6,44,44,0
7/8/2020,23,15,22,2
7/9/2020,98,31,44,13
7/10/2020,9,7,20,0
7/11/2020,23,25,10,35
7/12/2020,51,50,25,0
7/13/2020,25,34,20,16
7/14/2020,33,31,35,0
7/15/2020,24,12,15,27
7/16/2020,19,56,16,0
7/17/2020,26,14,41,20
7/18/2020,7,28,2,0
7/19/2020,26,49,20,9
7/20/2020,27,36,17,0
7/21/2020,24,46,13,17
7/22/2020,21,0,12,0
7/23/2020,23,77,23,19
7/24/2020,8,55,19,2
7/25/2020,19,0,13,5
7/26/2020,16,60,12,13
7/27/2020,22,52,21,15
7/28/2020,11,41,14,0
7/29/2020,10,38,26,21
7/30/2020,19,44,23,0
7/31/2020,27,8,19,12
8/1/2020,0,44,20,0
8/2/2020,2,0,2,5
8/3/2020,5,7,40,0
8/4/2020,12,25,15,0
8/5/2020,21,20,27,0
8/6/2020,19,51,24,18
8/7/2020,10,42,33,0
8/8/2020,12,2,20,0
8/9/2020,26,33,31,11
8/10/2020,32,20,35,3
8/11/2020,14,49,25,0
8/12/2020,26,0,6,12
8/13/2020,18,67,26,0
8/14/2020,7,54,21,9
8/15/2020,33,9,13,0
8/16/2020,15,28,11,9
8/17/2020,9,36,40,0
8/18/2020,37,46,19,8
8/19/2020,29,41,33,0
8/20/2020,33,37,17,0
8/21/2020,12,45,27,6
8/22/2020,16,7,23,0
8/23/2020,35,45,10,8
8/24/2020,20,25,19,0
8/25/2020,19,43,19,3
8/26/2020,60,26,31,0
8/27/2020,17,43,17,0
8/28/2020,12,26,28,7
8/29/2020,31,7,14,0
8/30/2020,17,70,5,0
8/31/2020,27,11,14,8
9/1/2020,23,53,27,0
9/2/2020,16,22,38,0
9/3/2020,31,45,9,7
9/4/2020,20,36,25,0
9/5/2020,8,1,19,0
9/6/2020,16,40,25,5
9/7/2020,20,20,32,0
9/8/2020,14,24,47,5
9/9/2020,20,8,48,0
9/10/2020,11,27,11,4
9/11/2020,28,5,32,0
9/12/2020,10,0,17,2
9/13/2020,17,26,33,0
9/14/2020,11,16,23,0
9/15/2020,9,22,16,6
9/16/2020,18,5,18,0
9/17/2020,15,30,12,2
9/18/2020,15,15,26,0
9/19/2020,13,0,47,2
9/20/2020,13,17,12,0
9/21/2020,7,6,26,0
9/22/2020,33,17,38,0
9/23/2020,12,11,29,2
9/24/2020,14,22,10,8
9/25/2020,23,0,17,0
9/26/2020,8,0,11,0
9/27/2020,21,24,10,0
9/28/2020,24,11,15,3
9/29/2020,16,15,9,2
9/30/2020,10,15,8,0
10/1/2020,13,3,16,0
10/2/2020,4,3,6,0
10/3/2020,10,0,18,1
10/4/2020,3,10,8,0
10/5/2020,22,5,28,0
10/6/2020,12,4,10,5
10/7/2020,7,10,12,0
10/8/2020,6,4,4,2
10/9/2020,22,6,2,0
10/10/2020,4,0,10,6
10/11/2020,21,18,7,0
10/12/2020,4,5,10,0
10/13/2020,30,4,15,8
10/14/2020,17,7,1,0
10/15/2020,15,11,6,3
10/16/2020,31,4,3,0
10/17/2020,5,1,14,0
10/18/2020,11,5,26,0
10/19/2020,17,5,23,0
10/20/2020,19,7,16,1
10/21/2020,24,5,14,0
10/22/2020,13,5,37,1
10/23/2020,13,2,12,0
10/24/2020,0,0,11,1
10/25/2020,14,7,5,0
10/26/2020,21,3,22,0
10/27/2020,11,1,27,0
10/28/2020,24,10,16,0
10/29/2020,19,5,27,0
10/30/2020,7,2,25,0
10/31/2020,5,0,6,0
11/1/2020,27,15,5,5
11/2/2020,15,5,6,0
11/3/2020,10,12,21,1
11/4/2020,8,15,16,0
11/5/2020,14,8,5,0
11/6/2020,20,8,19,0
11/7/2020,15,0,11,0
11/8/2020,17,12,7,0
11/9/2020,29,6,15,0
11/10/2020,26,9,10,0
11/11/2020,10,4,26,1
11/12/2020,24,6,17,0
11/13/2020,4,1,1,1
11/14/2020,16,0,10,4
11/15/2020,4,18,8,0
11/16/2020,9,6,1,0
11/17/2020,15,10,13,0
11/18/2020,18,8,16,0
11/19/2020,24,15,12,7
11/20/2020,15,1,4,0
11/21/2020,20,0,2,0
11/22/2020,10,9,16,0
11/23/2020,7,4,14,0
11/24/2020,21,6,6,4
11/25/2020,14,4,20,0
11/26/2020,19,8,14,0
11/27/2020,20,4,9,0
11/28/2020,4,2,13,5
11/29/2020,24,9,12,2
11/30/2020,12,4,17,0
12/1/2020,26,2,12,10
12/2/2020,23,10,2,0
12/3/2020,29,13,4,0
12/4/2020,13,3,4,4
12/5/2020,8,0,6,0
12/6/2020,12,16,11,6
12/7/2020,10,3,11,0
12/8/2020,10,8,10,3
12/9/2021,18,7,7,0
12/10/2020,14,11,9,10
12/11/2020,0,2,7,0
12/12/2020,10,0,1,0
12/13/2020,12,11,10,0
12/14/2020,1,16,7,0
